epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.431,1.81542,2.38808,1.69489,0.73518,0.36657,0.36586,0.21693,1.43276,1.12387,1.70106,0.000207753,0.000207753,0.000207753
2,316.84,1.43099,1.22784,1.60287,0.50356,0.47527,0.43957,0.25589,1.34725,1.01899,1.6757,0.000402356,0.000402356,0.000402356
3,468.949,1.36583,1.11762,1.58627,0.60559,0.49496,0.47233,0.28139,1.27873,0.97727,1.66742,0.000583208,0.000583208,0.000583208
4,620.016,1.33201,1.06138,1.57258,0.61834,0.51575,0.49533,0.29383,1.27791,0.9484,1.67733,0.000563125,0.000563125,0.000563125
5,771.703,1.30461,1.02178,1.55714,0.63232,0.53087,0.50982,0.3076,1.24151,0.93788,1.64864,0.0005425,0.0005425,0.0005425
6,922.86,1.27299,0.98579,1.53953,0.63262,0.53859,0.51617,0.31062,1.25592,0.9369,1.68016,0.000521875,0.000521875,0.000521875
7,1073.98,1.25418,0.95555,1.5267,0.66745,0.54268,0.53122,0.32171,1.22806,0.91775,1.6432,0.00050125,0.00050125,0.00050125
8,1224.62,1.24408,0.94741,1.52675,0.65075,0.55776,0.53534,0.3246,1.2428,0.90941,1.66463,0.000480625,0.000480625,0.000480625
9,1375.67,1.2337,0.93468,1.52014,0.64422,0.55989,0.53659,0.32486,1.25279,0.90455,1.67514,0.00046,0.00046,0.00046
10,1527,1.2214,0.9081,1.51327,0.646,0.56952,0.54658,0.33481,1.22106,0.89937,1.63195,0.000439375,0.000439375,0.000439375
11,1677.65,1.20911,0.9018,1.50251,0.65612,0.56279,0.5453,0.33268,1.23314,0.89185,1.63305,0.00041875,0.00041875,0.00041875
12,1828.85,1.20187,0.89057,1.5013,0.64505,0.58129,0.55435,0.33944,1.21276,0.89239,1.64346,0.000398125,0.000398125,0.000398125
13,1979.45,1.19332,0.87498,1.49038,0.65316,0.56582,0.54927,0.33691,1.25219,0.87485,1.68441,0.0003775,0.0003775,0.0003775
14,2129.88,1.18707,0.87036,1.4912,0.65715,0.57597,0.55703,0.34222,1.2312,0.87971,1.67467,0.000356875,0.000356875,0.000356875
15,2280.78,1.17772,0.85736,1.48739,0.66061,0.57591,0.55287,0.3395,1.25166,0.87198,1.69782,0.00033625,0.00033625,0.00033625
16,2431.48,1.17429,0.85315,1.48501,0.65358,0.57807,0.55661,0.34149,1.25734,0.87818,1.6857,0.000315625,0.000315625,0.000315625
17,2581.63,1.16712,0.84552,1.48072,0.67523,0.57843,0.56394,0.3474,1.21997,0.86932,1.64272,0.000295,0.000295,0.000295
18,2731.16,1.15965,0.8335,1.47313,0.65232,0.58443,0.56526,0.34874,1.22476,0.87846,1.66235,0.000274375,0.000274375,0.000274375
19,2881.46,1.15484,0.82808,1.47121,0.66833,0.58136,0.5584,0.34497,1.22912,0.86333,1.67808,0.00025375,0.00025375,0.00025375
20,3031.62,1.14974,0.8193,1.46857,0.65553,0.58534,0.56177,0.34711,1.22281,0.87264,1.65366,0.000233125,0.000233125,0.000233125
21,3180.78,1.13319,0.79083,1.49305,0.66856,0.5765,0.5645,0.35131,1.19752,0.86599,1.63798,0.0002125,0.0002125,0.0002125
22,3328.5,1.12793,0.78285,1.48814,0.66425,0.59087,0.5755,0.35953,1.19402,0.84339,1.64505,0.000191875,0.000191875,0.000191875
23,3475.91,1.11764,0.77081,1.48168,0.66424,0.59076,0.57175,0.35591,1.2065,0.85481,1.66465,0.00017125,0.00017125,0.00017125
24,3623.34,1.11485,0.76207,1.48137,0.6676,0.58832,0.57187,0.35711,1.20641,0.85399,1.6489,0.000150625,0.000150625,0.000150625
25,3770.91,1.11002,0.75473,1.47516,0.66969,0.59355,0.57523,0.35897,1.2004,0.85387,1.63894,0.00013,0.00013,0.00013
26,3918.75,1.10238,0.74692,1.47265,0.67677,0.58966,0.57696,0.36175,1.22739,0.83661,1.66892,0.000109375,0.000109375,0.000109375
27,4066.38,1.09791,0.73918,1.46926,0.67665,0.59229,0.57647,0.36233,1.21941,0.8464,1.66478,8.875e-05,8.875e-05,8.875e-05
28,4214.08,1.09525,0.73478,1.46516,0.67218,0.59418,0.58049,0.36381,1.23077,0.83799,1.67322,6.8125e-05,6.8125e-05,6.8125e-05
29,4361.79,1.09153,0.72954,1.4586,0.6836,0.58907,0.57897,0.36328,1.22241,0.83158,1.66363,4.75e-05,4.75e-05,4.75e-05
30,4509.23,1.0858,0.72051,1.45484,0.67165,0.59228,0.57753,0.36286,1.20963,0.83745,1.64653,2.6875e-05,2.6875e-05,2.6875e-05
